mV_GeV,sigmaSI_cm2
9.0,3.88141e-46
11.0,1.05545e-46
13.0,4.40606e-47
16.0,2.28511e-47
17.0,1.88394e-47
19.0,1.55761e-47
21.0,1.31963e-47
23.0,1.15272e-47
26.0,1.0176e-47
29.0,9.53429e-48
30.0,9.37582e-48
32.0,9.27823e-48
36.0,9.16769e-48
40.0,9.49545e-48
43.0,1.02165e-47
46.0,1.13143e-47
55.0,1.43786e-47
65.0,1.76318e-47
